acousticness,artist,danceability,day,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,month,position,speechiness,tempo,time_signature,title,valence,year
0.165,regina,0.543,5.0,313760.0,0.679,0.0,0.0,0.359,-9.437,0.0,7.0,1.0,0.0886,167.842,4.0,baby love,0.652,1986.0
0.0495,aretha franklin,0.651,5.0,385533.0,0.788,0.000394,10.0,0.411,-8.718,0.0,7.0,9.0,0.062,99.95,4.0,ain't nobody ever loved you (remix),0.89,1986.0
0.000189,bananarama,0.671,9.0,362053.0,0.792,0.547,0.0,0.328,-6.33,1.0,8.0,1.0,0.0477,130.001,4.0,venus (remix),0.646,1986.0
0.175,gwen guthrie,0.777,23.0,207893.0,0.774,5.41e-05,10.0,0.0671,-9.276,0.0,8.0,1.0,0.156,107.818,4.0,ain't nothin' goin' on but the rent,0.939,1986.0
0.311,madonna,0.807,30.0,345280.0,0.906,0.000791,5.0,0.0248,-8.973,0.0,8.0,4.0,0.0371,121.54,4.0,papa don't preach,0.971,1986.0
0.145,sparks,0.698,6.0,263627.0,0.782,0.00167,9.0,0.186,-12.185,0.0,9.0,6.0,0.0651,126.648,4.0,music that you can dance to,0.719,1986.0
0.000364,claudja barry,0.692,13.0,247467.0,0.923,0.0184,1.0,0.159,-4.746,0.0,9.0,1.0,0.0504,129.983,4.0,down and counting,0.571,1986.0
0.0833,stacey q,0.852,13.0,237533.0,0.523,0.0,5.0,0.106,-6.716,0.0,9.0,4.0,0.032,130.154,4.0,two of hearts,0.65,1986.0
0.00796,run-d.m.c.,0.759,13.0,309760.0,0.578,8.18e-05,6.0,0.0605,-12.56,0.0,9.0,6.0,0.0468,105.598,4.0,walk this way,0.944,1986.0
0.0188,janet jackson,0.739,4.0,385680.0,0.88,0.261,1.0,0.0568,-7.819,0.0,10.0,1.0,0.0624,116.181,4.0,when i think of you (remix),0.216,1986.0
0.614,nancy martinez,0.808,25.0,250293.0,0.751,0.0158,11.0,0.0614,-12.246,0.0,10.0,2.0,0.059,115.754,4.0,for tonight,0.911,1986.0
0.0562,the human league,0.636,1.0,228867.0,0.559,0.000754,8.0,0.0562,-10.313,1.0,11.0,1.0,0.0249,101.4,4.0,human,0.512,1986.0
0.014,nocera,0.74,1.0,206613.0,0.911,0.46,10.0,0.122,-4.146,0.0,11.0,2.0,0.0866,115.828,4.0,"summertime, summertime",0.876,1986.0
0.0318,five star,0.638,1.0,435107.0,0.932,0.00105,7.0,0.0286,-4.371,1.0,11.0,5.0,0.0721,106.831,4.0,can't wait another minute (remix),0.405,1986.0
0.0247,anthony & the camp,0.846,1.0,242227.0,0.746,0.00591,1.0,0.0906,-11.652,0.0,11.0,8.0,0.0513,117.925,4.0,how many lovers,0.962,1986.0
0.000225,k.t.p.,0.68,8.0,457947.0,0.942,0.172,11.0,0.236,-9.257,1.0,11.0,5.0,0.0771,126.0,4.0,one step (remix),0.964,1986.0
0.0511,cameo,0.885,15.0,261000.0,0.82,0.00263,6.0,0.0458,-13.054,0.0,11.0,1.0,0.0642,116.217,4.0,word up,0.853,1986.0
0.135,the communards,0.64,22.0,271067.0,0.926,2.04e-06,3.0,0.134,-5.597,1.0,11.0,1.0,0.0322,131.997,4.0,don't leave me this way,0.901,1986.0
0.261,madonna,0.799,29.0,258227.0,0.773,2.58e-06,11.0,0.044,-10.035,1.0,11.0,6.0,0.0393,118.045,4.0,true blue,0.896,1986.0
0.0172,dead or alive,0.524,6.0,221067.0,0.977,0.0,6.0,0.0681,-4.758,0.0,12.0,1.0,0.128,116.783,4.0,brand new lover,0.368,1986.0
0.0156,wang chung,0.692,20.0,411588.0,0.331,0.00937,9.0,0.134,-18.18,1.0,12.0,4.0,0.0457,129.054,4.0,everybody have fun tonight (remix),0.577,1986.0
0.00393,kraftwerk,0.791,10.0,344480.0,0.916,0.43,11.0,0.172,-11.753,0.0,1.0,1.0,0.138,108.183,4.0,musique non stop,0.389,1987.0
0.00502,sylvester,0.768,17.0,375200.0,0.613,0.0155,7.0,0.0607,-13.626,0.0,1.0,1.0,0.0501,120.771,4.0,someone like you,0.885,1987.0
0.00592,expose,0.596,31.0,258333.0,0.732,0.0214,7.0,0.0568,-9.356,1.0,1.0,1.0,0.0366,120.116,4.0,come go with me,0.805,1987.0
0.0261,madonna,0.656,14.0,229280.0,0.899,0.0,5.0,0.0936,-5.039,1.0,2.0,1.0,0.0565,113.239,4.0,open your heart,0.865,1987.0
0.0664,paul parker,0.718,28.0,367960.0,0.882,0.361,8.0,0.263,-7.76,0.0,2.0,1.0,0.0531,117.52,4.0,one look (one look was enough),0.964,1987.0
0.0111,wally jump jr./criminal element,0.791,28.0,431703.0,0.715,0.486,10.0,0.0837,-11.358,0.0,2.0,5.0,0.0775,118.364,4.0,turn me loose,0.88,1987.0
0.0123,company b,0.704,21.0,269027.0,0.927,0.213,1.0,0.244,-5.634,1.0,3.0,1.0,0.0325,119.766,4.0,fascinated,0.842,1987.0
0.017,jody watley,0.863,4.0,446353.0,0.863,0.124,9.0,0.225,-7.839,0.0,4.0,1.0,0.0551,124.002,4.0,looking for a new love (remix),0.382,1987.0
0.0512,trance-dance,0.813,11.0,256640.0,0.392,0.0185,6.0,0.169,-19.208,0.0,4.0,8.0,0.0473,125.927,4.0,do the dance (remix),0.782,1987.0
0.000182,club nouveau,0.754,18.0,292875.0,0.592,0.0307,10.0,0.179,-7.479,1.0,4.0,1.0,0.0433,116.017,4.0,lean on me (remix),0.96,1987.0
0.00843,prince,0.701,25.0,302760.0,0.515,0.025,10.0,0.0772,-6.551,1.0,4.0,2.0,0.0988,197.768,4.0,sign 'o' the times,0.549,1987.0
0.00613,dead or alive,0.577,9.0,265160.0,0.919,0.0348,2.0,0.109,-8.452,0.0,5.0,3.0,0.05,130.358,4.0,something in my house,0.429,1987.0
0.00508,cyre,0.756,9.0,222413.0,0.863,0.0258,10.0,0.131,-5.598,0.0,5.0,4.0,0.249,123.038,4.0,last chance,0.525,1987.0
0.00826,eleanor mills,0.8,23.0,364368.0,0.649,0.752,10.0,0.123,-8.822,0.0,5.0,7.0,0.051,116.848,4.0,mr. right,0.839,1987.0
0.0441,lisa lisa and cult jam,0.847,30.0,302000.0,0.669,0.00774,11.0,0.19,-7.318,0.0,5.0,1.0,0.113,113.736,4.0,head to toe,0.84,1987.0
0.0622,janet jackson,0.673,6.0,443933.0,0.941,0.0255,0.0,0.118,-5.683,1.0,6.0,1.0,0.083,117.539,4.0,the pleasure principle (remix),0.772,1987.0
0.00479,sadie nine,0.828,6.0,494345.0,0.454,0.0457,1.0,0.04,-13.627,1.0,6.0,4.0,0.0679,119.224,4.0,let's work it out,0.502,1987.0
0.00593,fleetwood mac,0.653,4.0,403440.0,0.934,0.42,10.0,0.0767,-8.282,0.0,7.0,7.0,0.0446,125.707,4.0,big love (remix),0.809,1987.0
0.000815,carolyn harding,0.772,4.0,389467.0,0.563,0.000252,7.0,0.162,-10.797,1.0,7.0,8.0,0.0563,121.49,4.0,movin' on,0.69,1987.0
0.0071,debbie harry,0.6,11.0,200693.0,0.859,0.741,5.0,0.204,-9.598,0.0,7.0,1.0,0.0278,122.159,4.0,in love with love (remix),0.888,1987.0
0.16,jody watley,0.933,11.0,329467.0,0.632,0.000329,10.0,0.175,-11.534,1.0,7.0,8.0,0.0912,112.783,4.0,still a thrill (remix),0.776,1987.0
0.207,whitney houston,0.709,18.0,291293.0,0.824,0.000307,1.0,0.0888,-8.824,1.0,7.0,1.0,0.0453,118.814,4.0,i wanna dance with somebody (who loves me),0.867,1987.0
0.245,living in a box,0.635,25.0,186667.0,0.872,0.0637,0.0,0.31,-12.744,1.0,7.0,6.0,0.0445,111.03,4.0,living in a box,0.927,1987.0
0.0011,alexander o'neal,0.735,1.0,235493.0,0.694,0.0521,6.0,0.218,-13.515,0.0,8.0,7.0,0.0348,112.846,4.0,fake,0.755,1987.0
0.0087,joyce sims,0.771,1.0,376880.0,0.823,0.161,8.0,0.0613,-6.904,0.0,8.0,10.0,0.0716,107.725,4.0,lifetime love,0.965,1987.0
